DateTime,Time,Fault,Label
5/14/2014 14:39,1400096384,GF,1
5/14/2014 14:50,1400097024,GF,1
5/14/2014 14:58,1400097536,GF,1
5/14/2014 15:09,1400098176,GF,1
5/14/2014 15:20,1400098816,GF,1
5/14/2014 15:30,1400099456,GF,1
6/4/2014 8:09,1401887360,MF,2
6/4/2014 8:20,1401888000,MF,2
6/4/2014 17:00,1401919232,MF,2
6/5/2014 15:50,1402001408,MF,2
6/5/2014 17:41,1402008064,FF,3
6/8/2014 23:50,1402289408,AF,4
6/9/2014 0:00,1402290048,AF,4
6/9/2014 0:00,1402290048,MF,2
6/9/2014 0:09,1402290560,AF,4
6/9/2014 0:09,1402290560,MF,2
6/9/2014 23:50,1402375808,AF,4
6/10/2014 0:00,1402376448,AF,4
6/10/2014 0:00,1402376448,MF,2
6/10/2014 0:09,1402376960,AF,4
6/10/2014 0:09,1402376960,MF,2
6/10/2014 23:50,1402462208,AF,4
6/11/2014 0:00,1402462848,AF,4
6/11/2014 0:00,1402462848,MF,2
6/11/2014 0:09,1402463360,AF,4
6/11/2014 0:09,1402463360,MF,2
6/11/2014 23:50,1402548608,AF,4
6/12/2014 0:00,1402549248,AF,4
6/12/2014 0:00,1402549248,MF,2
6/12/2014 0:09,1402549760,AF,4
6/12/2014 0:09,1402549760,MF,2
6/13/2014 12:50,1402681856,FF,3
6/25/2014 21:50,1403751040,AF,4
6/25/2014 21:59,1403751552,AF,4
6/25/2014 21:59,1403751552,MF,2
6/25/2014 22:09,1403752192,AF,4
6/25/2014 22:09,1403752192,MF,2
7/3/2014 14:50,1404417024,AF,4
7/3/2014 14:58,1404417536,AF,4
7/3/2014 14:58,1404417536,MF,2
7/3/2014 15:09,1404418176,AF,4
7/3/2014 15:09,1404418176,MF,2
7/14/2014 12:29,1405358976,EF,5
7/14/2014 12:29,1405358976,FF,3
7/14/2014 12:40,1405359616,EF,5
7/14/2014 12:40,1405359616,FF,3
7/18/2014 1:09,1405663744,EF,5
7/18/2014 1:09,1405663744,FF,3
7/18/2014 1:19,1405664384,EF,5
7/18/2014 1:19,1405664384,FF,3
7/18/2014 1:30,1405665024,EF,5
7/18/2014 1:30,1405665024,FF,3
7/18/2014 1:38,1405665536,EF,5
7/18/2014 1:38,1405665536,FF,3
7/18/2014 1:49,1405666176,EF,5
7/18/2014 2:00,1405666816,EF,5
7/21/2014 6:50,1405943424,AF,4
7/21/2014 7:01,1405944064,AF,4
7/21/2014 7:09,1405944576,AF,4
7/21/2014 7:20,1405945216,AF,4
7/22/2014 6:50,1406029824,AF,4
7/22/2014 6:58,1406030336,AF,4
7/22/2014 7:09,1406030976,AF,4
8/7/2014 16:49,1407448192,AF,4
8/7/2014 17:00,1407448832,AF,4
8/7/2014 17:09,1407449344,AF,4
8/10/2014 12:10,1407690624,EF,5
8/10/2014 12:10,1407690624,FF,3
8/10/2014 12:21,1407691264,EF,5
8/10/2014 12:21,1407691264,FF,3
8/15/2014 19:49,1408150144,AF,4
8/15/2014 19:59,1408150784,AF,4
8/15/2014 20:10,1408151424,AF,4
8/15/2014 20:21,1408152064,AF,4
8/16/2014 19:49,1408236544,AF,4
8/16/2014 19:59,1408237184,AF,4
8/16/2014 20:10,1408237824,AF,4
8/17/2014 17:09,1408313344,EF,5
8/17/2014 17:09,1408313344,FF,3
8/17/2014 17:19,1408313984,EF,5
8/17/2014 17:19,1408313984,FF,3
8/17/2014 17:30,1408314624,EF,5
8/17/2014 19:49,1408322944,AF,4
8/17/2014 19:59,1408323584,AF,4
8/17/2014 20:10,1408324224,AF,4
8/18/2014 19:49,1408409344,AF,4
8/18/2014 19:59,1408409984,AF,4
8/18/2014 20:10,1408410624,AF,4
8/19/2014 19:49,1408495744,AF,4
8/19/2014 19:59,1408496384,AF,4
8/19/2014 20:10,1408497024,AF,4
8/20/2014 19:49,1408582144,AF,4
8/20/2014 19:59,1408582784,AF,4
8/20/2014 20:10,1408583424,AF,4
8/21/2014 19:49,1408668544,AF,4
8/21/2014 19:59,1408669184,AF,4
8/21/2014 20:10,1408669824,AF,4
8/22/2014 19:49,1408754944,AF,4
8/22/2014 19:59,1408755584,AF,4
8/22/2014 20:10,1408756224,AF,4
8/28/2014 11:29,1409243392,EF,5
8/28/2014 11:29,1409243392,FF,3
8/28/2014 11:40,1409244032,EF,5
8/28/2014 11:40,1409244032,FF,3
9/18/2014 11:49,1411058944,AF,4
9/18/2014 11:59,1411059584,AF,4
9/18/2014 12:10,1411060224,AF,4
10/2/2014 23:30,1412310656,EF,5
10/2/2014 23:30,1412310656,FF,3
10/2/2014 23:39,1412311168,EF,5
10/2/2014 23:39,1412311168,FF,3
10/2/2014 23:50,1412311808,EF,5
10/2/2014 23:50,1412311808,FF,3
10/3/2014 0:39,1412314752,EF,5
10/3/2014 0:39,1412314752,FF,3
10/3/2014 0:49,1412315392,EF,5
10/3/2014 0:49,1412315392,FF,3
10/3/2014 1:00,1412316032,EF,5
10/3/2014 1:09,1412316544,EF,5
10/5/2014 16:49,1412545792,EF,5
10/5/2014 16:49,1412545792,FF,3
10/5/2014 17:00,1412546432,EF,5
10/5/2014 17:00,1412546432,FF,3
10/5/2014 17:49,1412549376,EF,5
10/5/2014 17:49,1412549376,FF,3
10/5/2014 18:00,1412550016,EF,5
10/5/2014 18:00,1412550016,FF,3
10/5/2014 18:49,1412552960,EF,5
10/5/2014 19:00,1412553600,EF,5
10/5/2014 19:49,1412556544,EF,5
10/5/2014 19:49,1412556544,FF,3
10/5/2014 19:59,1412557184,EF,5
10/5/2014 19:59,1412557184,FF,3
10/5/2014 20:18,1412558336,EF,5
10/5/2014 20:18,1412558336,FF,3
10/5/2014 20:29,1412558976,EF,5
10/5/2014 20:29,1412558976,FF,3
10/8/2014 6:58,1412769536,MF,2
10/8/2014 7:09,1412770176,MF,2
10/8/2014 13:29,1412792960,MF,2
10/8/2014 13:40,1412793600,MF,2
10/14/2014 23:09,1413346176,EF,5
10/14/2014 23:09,1413346176,FF,3
10/14/2014 23:20,1413346816,EF,5
10/14/2014 23:20,1413346816,FF,3
10/15/2014 3:00,1413360000,EF,5
10/15/2014 3:00,1413360000,FF,3
10/15/2014 3:10,1413360640,EF,5
10/15/2014 3:10,1413360640,FF,3
10/15/2014 3:19,1413361152,EF,5
10/15/2014 3:19,1413361152,FF,3
10/15/2014 10:40,1413387648,EF,5
10/15/2014 10:40,1413387648,FF,3
10/15/2014 10:49,1413388160,EF,5
10/15/2014 10:49,1413388160,FF,3
10/15/2014 11:49,1413391744,EF,5
10/15/2014 11:59,1413392384,EF,5
10/17/2014 11:49,1413564544,GF,1
10/17/2014 11:59,1413565184,GF,1
10/17/2014 12:10,1413565824,GF,1
10/17/2014 13:40,1413571200,EF,5
10/17/2014 13:40,1413571200,FF,3
10/17/2014 13:50,1413571840,EF,5
10/17/2014 13:50,1413571840,FF,3
10/17/2014 19:29,1413592192,EF,5
10/17/2014 19:29,1413592192,FF,3
10/17/2014 19:40,1413592832,EF,5
10/17/2014 19:40,1413592832,FF,3
10/18/2014 21:10,1413684608,EF,5
10/18/2014 21:20,1413685248,EF,5
10/18/2014 21:29,1413685760,EF,5
10/19/2014 2:49,1413704960,EF,5
10/19/2014 2:49,1413704960,FF,3
10/19/2014 3:00,1413705600,EF,5
10/19/2014 3:00,1413705600,FF,3
10/19/2014 6:20,1413717632,EF,5
10/19/2014 6:20,1413717632,FF,3
10/19/2014 6:29,1413718144,EF,5
10/19/2014 6:29,1413718144,FF,3
10/19/2014 6:39,1413718784,EF,5
10/19/2014 6:50,1413719424,EF,5
10/19/2014 6:50,1413719424,FF,3
10/19/2014 7:01,1413720064,EF,5
10/19/2014 7:01,1413720064,FF,3
10/19/2014 9:19,1413728384,EF,5
10/19/2014 9:19,1413728384,FF,3
10/19/2014 9:30,1413729024,EF,5
10/19/2014 9:30,1413729024,FF,3
10/19/2014 10:19,1413731968,EF,5
10/19/2014 10:19,1413731968,FF,3
